Êý¾ÝÓÉÐÏ²»ÐÐÕûÀí£¬¶ÔÊý¾Ý×Ö¶ÎÓÐÒÉÎÊµÄ£¬¿ÉÒÔÖ±½ÓÎ¢ÐÅË½ÐÅÐÏ²»ÐÐ£¬Î¢ÐÅºÅ£ºxbx6064,,,,,,,,,,,
¹ÉÆ±´úÂë,¹ÉÆ±Ãû³Æ,tradeDate,¿ªÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,ÊÕÅÌ¼Û,Ç°ÊÕÅÌ¼Û,³É½»Á¿,³É½»¶î,Á÷Í¨ÊÐÖµ,×ÜÊÐÖµ
bj430017,NÐÇê»,2023/5/31,11,11.72,10.79,10.89,12.3,15346788,173989556,736656663.6,1334865708
bj430017,ÐÇê»Ò½Ò©,2023/6/1,10.51,10.51,10.09,10.23,10.89,5461477,56047364,692010805.2,1253964756
bj430017,ÐÇê»Ò½Ò©,2023/6/2,10.13,10.7,10.12,10.35,10.23,2739099,28534170,652621734,1268674020
bj430017,ÐÇê»Ò½Ò©,2023/6/5,10.44,10.48,10.15,10.22,10.35,1490459,15270191,644424552.8,1252738984
bj430017,ÐÇê»Ò½Ò©,2023/6/6,10.19,10.29,10.12,10.17,10.22,1100327,11186598,641271790.8,1246610124
bj430017,ÐÇê»Ò½Ò©,2023/6/7,10.12,10.18,10.06,10.09,10.17,1111810,11228938,636227371.6,1236803948
bj430017,ÐÇê»Ò½Ò©,2023/6/8,10.09,10.12,10.06,10.07,10.09,595365,6004709,634966266.8,1234352404
bj430017,ÐÇê»Ò½Ò©,2023/6/9,10.08,10.1,9.91,9.96,10.07,954970,9542824,628030190.4,1220868912
bj430017,ÐÇê»Ò½Ò©,2023/6/12,9.98,9.99,9.93,9.97,9.96,410813,4090069,628660742.8,1222094684
bj430017,ÐÇê»Ò½Ò©,2023/6/13,9.95,10.05,9.94,9.99,9.97,452741,4519303,629921847.6,1224546228
